Platform,Skill Code,Skill Name,Certification Track,Lab Code,Lab Name,Proficiency Level,MLCV Lab Track Link,ECM link,Lab Audience Name,Difficulty of Usecase,Use Case  Title,Skill(s),Avg Time to Complete (mins),Learning Vault Link (SOP UseCase),Learning Vault Code,Completion Date
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685071&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Provision a MS SQL Database Instance in Azure,Azure Basics,50,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-353/Microsoft-Azure-Beginner-SOP---Provision-a-MS-SQL-Database-Instance-in-Azure.pdf,MLCV-2020-353,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685072&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Creating an Image from a Snapshot in Azure,Azure Images and Snapshots,60,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-589/Microsoft-Azure-Beginner-SOP---Creating-an-Image-from-a-Snapshot-in-Azure.pdf,MLCV-2020-589,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685076&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Host a web application with Azure App service,Azure webapp,60,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-1400/MLCV-2020-1400-Microsoft-Azure-Beginner-SOP--Host-a-Web-Application-with-Azure-App-Service.pdf,MLCV-2020-1400,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685077&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Configure Customer Managed Key for Azure Storage Account,"Azure Storage,Key vault",60,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-778/MLCV-2020-778-Microsoft-Azure-Beginner-SOP--Configure-Customer-Managed-Key-for-Azure-Storage-Account.pdf,MLCV-2020-778,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685080&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Configuring Alerts for Azure SQL,Azure Alerts,75,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-318/Microsoft-Azure-Beginner-SOP---Configuring-Alerts-for-Azure-SQL.pdf,MLCV-2020-318,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_99414844&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Deploying a VM Using an ARM Template in Azure,Azure Automation,40,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-321/DevOps-SOP---Deploying-a-VM-using-an-ARM-Template-in-Azure.pdf,MLCV-2020-321,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685088&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Working with MongoDB,Azure DB,60,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2021-1738/MLCV-2021-1738-Microsoft-Azure-Beginner-SOP--Working-with-MongoDB.pdf,MLCV-2021-1738,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685089&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Adding a Network Interface to a VM in Azure,Azure Basics,70,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-356/Microsoft-Azure-Beginner-SOP---Adding-a-Network-Interface-to-a-VM-in-Azure.pdf,MLCV-2020-356,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685093&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Import JSON into Cosmos DB,Azure DB,70,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-362/Microsoft-Azure-Beginner-SOP---Import-JSON-into-Cosmos-DB.pdf,MLCV-2020-362,Week 2
Microsoft Azure,19022,Azure Public Cloud Admin,Microsoft Certified Azure Administrator Associate,CTHCI101737,CCL - Azure Administrator - Associate - Hands-on Lab [201-INTERMEDIATE],Practitioner,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-523/CTHCI101737-CCL--Azure-Administrator--Associate--Hands-on-Lab-201-INTERMEDIATE-.xlsx,https://ecm.cognizant.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=Latest&dDocName=CTSECMIN_98685098&allowInterrupt=1&noSaveAs=1,Audience for CCL - Azure  LabUser,Beginner,Configuring CDN Endpoints in Microsoft Azure,Azure CDN,70,https://cognizantonline.sharepoint.com/sites/Academy-cms/LS/MLCV-2020-368/Microsoft-Azure-Beginner-SOP---Configuring-CDN-Endpoints-in-Microsoft-Azure.pdf,MLCV-2020-368,Week 2
